id,subject,topic,difficulty,question,option_1,option_2,option_3,option_4,answer,explanation
1048,Ophthalmology,Eyelids,1,A 'Stye' (Hordeolum Externum) is an infection of the:,Glands of Zeis,Meibomian Glands,Lacrimal Sac,Cornea,Glands of Zeis,A stye is an acute staphylococcal infection of the glands of Zeis or Moll at the eyelid margin.
1049,Ophthalmology,Neuro-ophthalmology,3,The 'Argyll Robertson Pupil' is characterized by:,"Loss of Light reflex, persistent Accommodation reflex","Loss of Accommodation reflex, persistent Light reflex",Dilation in response to light,Total absence of both reflexes,"Loss of Light reflex, persistent Accommodation reflex",ARP ('Prostitute's Pupil') is classic for neurosyphilis; the pupil accommodates but does not react to light.
1050,Ophthalmology,Uveitis,2,Festooned Pupil is seen in:,Glaucoma,Chronic Iridocyclitis,Cataract,Papilledema,Chronic Iridocyclitis,Irregularity of the pupil (festooned) occurs due to posterior synechiae (iris adhering to the lens) in uveitis.
1051,Ophthalmology,Cornea,3,Munson's sign is seen in which condition?,Glaucoma,Keratoconus,Retinal Detachment,Iritis,Keratoconus,"Munson's sign is the protrusion of the lower eyelid when the patient looks down, caused by the conical cornea."
1052,Ophthalmology,Glaucoma,3,Which of the following drugs is 'Contraindicated' in Acute Angle Closure Glaucoma?,Pilocarpine,Timolol,Atropine,Acetazolamide,Atropine,"Atropine is a mydriatic (dilates pupil), which would further crowd the angle and worsen the glaucoma."
1053,Ophthalmology,Retina,2,The most common 'Primary' intraocular malignancy in adults is:,Retinoblastoma,Malignant Melanoma,Squamous Cell Ca,Lymphoma,Malignant Melanoma,Choroidal melanoma is the most common primary intraocular tumor in adults. Retinoblastoma is most common in children.
1054,Ophthalmology,Trauma,4,The 'Blow-out' fracture of the orbit most commonly involves the:,Roof,Lateral wall,Floor,Medial wall,Floor,The thin floor of the orbit (maxilla) is the weakest part and most prone to blow-out fractures.
1055,Ophthalmology,Retina,2,The 'Hutchinson's sign' (vesicles on the tip of the nose) in Herpes Zoster Ophthalmicus predicts:,Ear involvement,Ocular involvement,Mouth ulcers,Skin scarring,Ocular involvement,The nasociliary nerve supplies both the tip of the nose and the eye; vesicles on the nose tip (Hutchinson's sign) strongly suggest eye involvement.
1056,Ophthalmology,Optics,1,Visual acuity is tested using:,Ishihara charts,Snellen's charts,Amsler grid,Jaeger's chart,Snellen's charts,Snellen's charts are used for distance visual acuity. Jaeger's is for near vision.
1057,Ophthalmology,Squint,3,The 'Hering's Law' of equal innervation applies to:,Agonist muscles,Antagonist muscles,Yoke muscles,Ciliary muscles,Yoke muscles,"Hering's law states that equal and simultaneous innervation is sent to yoke muscles (e.g., right LR and left MR)."
1058,Ophthalmology,Conjunctiva,3,A 'Herbert's Pit' is a classic late sequela of:,Trachoma,VKC,Phlyctenular Conjunctivitis,Ocular Pemphigoid,Trachoma,"Herbert's pits are scarred-down follicles at the limbus, characteristic of old Trachoma."
1059,Ophthalmology,Retina,3,A 'Metamorphopsia' (distortion of lines) is a feature of:,Glaucoma,Macular degeneration,Retinal detachment,Cataract,Macular degeneration,Damage to the macula (central vision) causes straight lines to appear wavy (Metamorphopsia).
1060,Ophthalmology,Lens,3,Which of the following is a 'Pseudo-exfoliation' syndrome feature?,Iron deposits,White flaky material on lens capsule,Oil droplet lens,Sunflower cataract,White flaky material on lens capsule,"Pseudo-exfoliation (PEX) shows dandruff-like material on the lens, which is a major risk for glaucoma."
1061,Ophthalmology,Anatomy,2,The 'Canal of Schlemm' is located in the:,Iris,Limbus,Choroid,Vitreous,Limbus,"Aqueous humor drains into the Canal of Schlemm, located at the iridocorneal angle within the limbal region."
1062,Ophthalmology,Optics,3,The 'Sturm's Conoid' is associated with:,Myopia,Hypermetropia,Astigmatism,Aphakia,Astigmatism,"In astigmatism, rays do not form a single focus but a complex shape known as Sturm's conoid."
1063,Ophthalmology,Glaucoma,2,The 'Haloes' around lights are most commonly seen in:,Cataract,Acute Glaucoma,Diabetic Retinopathy,Retinal Detachment,Acute Glaucoma,"Corneal edema in acute glaucoma causes light to diffract, creating colored haloes around light sources."
1064,Ophthalmology,Retina,2,The most common site for 'Retinoblastoma' metastasis is:,Liver,Lung,Optic Nerve/Brain,Bone,Optic Nerve/Brain,Retinoblastoma typically spreads by direct extension through the optic nerve to the brain.
1065,Ophthalmology,Cornea,3,A 'Stockers Line' on the cornea is seen at the edge of a:,Corneal Ulcer,Pterygium,Keratoconus,Mooren's Ulcer,Pterygium,Stocker's line is an iron deposit seen at the leading edge of a pterygium.
1066,Ophthalmology,Neuro-ophthalmology,1,Visual fields are tested by:,Ophthalmoscope,Retinoscope,Perimetry,Gonioscopy,Perimetry,"Perimetry (e.g., Humphrey Visual Field) is the standard method for mapping visual fields."
1067,Ophthalmology,Trauma,3,The 'Roessier’s spots' are found in:,Vitreous Hemorrhage,Sympathetic Ophthalmitis,CRVO,Traumatic Iritis,Sympathetic Ophthalmitis,Sympathetic Ophthalmitis is a bilateral granulomatous uveitis occurring after penetrating injury to one eye (Dalen-Fuchs nodules).
1068,Ophthalmology,Retina,3,The 'Amsler Grid' is used to monitor:,Peripheral vision,Macular function,Color vision,Contrast sensitivity,Macular function,Amsler grid helps detect central vision distortions (metamorphopsia) in patients with AMD.
1069,Ophthalmology,Lens,2,The 'Sunflower' cataract is seen in:,Wilson's Disease,Diabetes,Galactosemia,Atopic dermatitis,Wilson's Disease,Copper deposition in the lens capsule in Wilson's disease creates a sunflower-shaped cataract.
1070,Ophthalmology,Glaucoma,3,What is the 'Early' visual field defect in Glaucoma?,Paracentral scotoma,Arcuate scotoma,Bjerrum scotoma,Roenne's nasal step,Paracentral scotoma,"Early defects are paracentral scotomas, which eventually coalesce to form the Bjerrum (Arcuate) scotoma."
1071,Ophthalmology,Optics,4,A '+2.0D' lens has a focal length of:,20 cm,50 cm,100 cm,200 cm,50 cm,Focal length (f) = 1/Power (D). f = 1/2 = 0.5 meters = 50 cm.
1072,Ophthalmology,Conjunctiva,2,Tranta's spots are a feature of:,Vernal Keratoconjunctivitis,Trachoma,Phlyctenular disease,Keratomalacia,Vernal Keratoconjunctivitis,Horner-Tranta's spots are white dots at the limbus (eosinophil aggregates) seen in VKC.
1073,Ophthalmology,Cornea,3,Which corneal dystrophy shows 'Bread-crumb' appearance?,Lattice,Granular,Macular,Fuchs,Granular,Granular dystrophy (Type 1) is characterized by bread-crumb like opacities in the stroma.
1074,Ophthalmology,Neuro-ophthalmology,3,Optic Atrophy with 'Chalky White' disc is seen in:,Primary Optic Atrophy,Consecutive Optic Atrophy,Post-neuritic Atrophy,Glaucoma,Primary Optic Atrophy,"Primary optic atrophy (e.g., from compression) shows a chalky white disc with well-defined margins."
1075,Ophthalmology,Retina,4,The 'Elschnig's spots' are features of:,Hypertensive Retinopathy,Diabetic Retinopathy,Coats' Disease,Eales' Disease,Hypertensive Retinopathy,Elschnig's spots are manifestations of choroidal ischemia in severe (malignant) hypertension.
1076,Ophthalmology,Optics,2,The condition of 'Aphakia' refers to:,Double vision,Absence of lens,Irregular cornea,Increased IOP,Absence of lens,Aphakia is the condition of being without a crystalline lens (usually after cataract surgery without IOL).
1077,Ophthalmology,Glaucoma,1,Which part of the 'Visual Field' is the last to go in advanced glaucoma?,Superior,Inferior,Temporal,Nasal,Temporal,Advanced glaucoma leaves a small 'temporal island' of vision before total blindness.
1078,Ophthalmology,Squint,3,The 'Bielschowsky Head Tilt Test' is used to diagnose palsy of which muscle?,Lateral Rectus,Medial Rectus,Superior Oblique,Inferior Oblique,Superior Oblique,This test confirms 4th nerve (Superior Oblique) palsy; the patient tilts their head to the opposite side to reduce diplopia.
1079,Ophthalmology,Eyelids,2,Drooping of the upper eyelid is known as:,Entropion,Ectropion,Ptosis,Trichiasis,Ptosis,"Ptosis is the sagging of the upper lid, often due to weakness of the Levator Palpebrae Superioris muscle."
1080,Ophthalmology,Anatomy,1,Which of the following is the 'Fastest' muscle in the human body?,Gastrocnemius,Orbicularis Oculi,Biceps,Masseter,Orbicularis Oculi,Orbicularis Oculi (responsible for blinking) is considered the fastest muscle.
1081,Ophthalmology,Cornea,3,The 'Wessley Ring' on the cornea is a type of:,Iron deposit,Immune ring in Keratitis,Fungal lesion,Contact lens complication,Immune ring in Keratitis,Wessley ring is an antigen-antibody precipitate seen in the stroma in cases of viral or metallic keratitis.
1082,Ophthalmology,Refraction,2,A '-3.0D' lens is a:,Convex lens,Concave lens,Cylindrical lens,Prism,Concave lens,Minus power lenses are concave (diverging) and used to correct myopia.
1083,Ophthalmology,Retina,3,Hard exudates in Diabetic Retinopathy are composed of:,Blood,Pus,Lipoproteins,Fibrous tissue,Lipoproteins,Hard exudates are waxy yellow deposits formed by chronic leakage of plasma lipids and proteins from damaged capillaries.
1084,Ophthalmology,Neuro-ophthalmology,3,Papilledema (swelling of optic disc) is primarily caused by:,Low IOP,Increased Intracranial Pressure,Diabetes,Vitamin A excess,Increased Intracranial Pressure,Papilledema is passive swelling of the optic disc due to raised ICP; it is typically bilateral.
1085,Ophthalmology,Uveitis,2,The 'Drug of Choice' for dilating the pupil in active uveitis is:,Pilocarpine,Atropine,Timolol,Latanoprost,Atropine,Atropine (mydriatic-cycloplegic) is essential in uveitis to prevent synechiae and reduce pain from ciliary spasm.
1086,Ophthalmology,Retina,2,The 'Macula lutea' gets its name from the pigment:,Rhodopsin,Xanthophyll,Melanin,Lipofuscin,Xanthophyll,Xanthophyll pigments give the macula its characteristic yellowish appearance.
1087,Ophthalmology,Glaucoma,3,A 'Gonioscopy' is performed to:,Measure visual field,Visualize the anterior chamber angle,Measure corneal thickness,Test color vision,Visualize the anterior chamber angle,Gonioscopy is essential to differentiate between open-angle and angle-closure glaucoma.
1088,Ophthalmology,Lens,1,What is the function of the 'Crystalline Lens'?,Protect the retina,Accommodation,Produce aqueous,Drain aqueous,Accommodation,"The lens changes its shape to focus on near objects, a process called accommodation."
1089,Ophthalmology,Conjunctiva,2,The 'Symblepharon' refers to adhesion between:,Iris and Lens,Palpebral and Bulbar conjunctiva,Cornea and Iris,Eyelids,Palpebral and Bulbar conjunctiva,Symblepharon often occurs after chemical burns or in Stevens-Johnson syndrome.
1090,Ophthalmology,Trauma,2,"In a 'Chemical Burn' of the eye, the first step in management is:",Apply antibiotic ointment,Immediate profuse irrigation with saline or water,Give oral painkillers,Check visual acuity,Immediate profuse irrigation with saline or water,Irrigation is the most critical immediate step to remove the chemical and limit tissue damage.
1091,Ophthalmology,Squint,2,The 'Cover-Uncover' test is used to detect:,Cataract,Manifest Squint (Tropia),Latent Squint (Phoria),Glaucoma,Manifest Squint (Tropia),"The cover test identifies manifest deviations, while the alternate cover test is used for latent deviations (phorias)."
1092,Ophthalmology,Neuro-ophthalmology,3,Foster Kennedy Syndrome includes:,Bilateral papilledema,Ipsilateral optic atrophy and contralateral papilledema,Bilateral optic atrophy,Ipsilateral papilledema and contralateral atrophy,Ipsilateral optic atrophy and contralateral papilledema,This occurs with frontal lobe tumors compressing one optic nerve (atrophy) and raising ICP (papilledema in the other eye).
1093,Ophthalmology,Cornea,4,Which corneal layer does 'NOT' regenerate after injury?,Epithelium,Bowman's layer,Stroma,Descemet's membrane,Bowman's layer,Bowman's layer does not regenerate; injuries here result in permanent scarring.
1094,Ophthalmology,Retina,1,The 'Ishihara' plates are used to test for:,Visual field,Visual acuity,Color blindness,Stereopsis,Color blindness,Ishihara pseudoisochromatic plates are the most common screening tool for red-green color blindness.
1095,Ophthalmology,Glaucoma,4,Krukenberg's spindle is a vertical line of pigment seen in:,Pigmentary Glaucoma,Pseudo-exfoliation,Uveitis,Diabetes,Pigmentary Glaucoma,Krukenberg spindle is a vertical deposit of iris pigment on the corneal endothelium.
1096,Ophthalmology,Lens,3,"After ECCE/Phaco, the 'Posterior Capsular Opacification' (After-cataract) is treated with:",Surgical scraping,YAG Laser Capsulotomy,Excimer Laser,Antibiotics,YAG Laser Capsulotomy,Nd:YAG laser is used to create a clear opening in the opacified posterior capsule.
1097,Ophthalmology,Squint,2,Maddox Wing is used to measure:,Manifest squint,Latent squint (Phoria) for near,Accommodation,Field of vision,Latent squint (Phoria) for near,Maddox wing is a handheld instrument used to measure heterophoria at a near distance.
1098,Ophthalmology,Optics,1,The 'Unit' of power of a lens is:,Meter,Diopter,Degree,Candela,Diopter,Diopter is the reciprocal of the focal length in meters.
1099,Ophthalmology,Community Ophthalmology,2,"Under the 'Vision 2020' initiative, the priority diseases for India include all EXCEPT:",Cataract,Refractive Errors,Glaucoma,Macular Degeneration,Macular Degeneration,"Priority diseases in India: Cataract, Trachoma, Diabetic Retinopathy, Glaucoma, and Childhood Blindness (including Vit A deficiency)."
1100,Ophthalmology,General,1,What is the normal value of 'Intraocular Pressure' (IOP)?,5-10 mmHg,10-21 mmHg,25-35 mmHg,40-50 mmHg,10-21 mmHg,The average normal IOP ranges between 10 and 21 mmHg.
1101,Ophthalmology,Anatomy,2,Which of the following extraocular muscles is NOT supplied by the Oculomotor nerve?,Superior Rectus,Inferior Oblique,Superior Oblique,Medial Rectus,Superior Oblique,The Superior Oblique is supplied by the Trochlear nerve (CN IV) and the Lateral Rectus by the Abducens nerve (CN VI). Formula: LR6(SO4)3.
1102,Ophthalmology,Lacrimal Apparatus,3,The 'Schirmer's Test I' is used to measure which type of tear secretion?,Basal secretion only,Reflex secretion only,Total (Basal + Reflex) secretion,Quality of tears,Total (Basal + Reflex) secretion,Schirmer's I measures both basal and reflex secretion. Schirmer's II (with nasal stimulation) measures reflex secretion only.
1103,Ophthalmology,Conjunctiva,2,A 'Symblepharon' is most commonly a complication of:,Trachoma,Alkali burns,Bacterial conjunctivitis,Fungal keratitis,Alkali burns,Alkali burns cause deep tissue damage and symblepharon (adhesion of palpebral to bulbar conjunctiva).
1104,Ophthalmology,Cornea,4,The 'Vogt's Striae' seen in Keratoconus are located in which layer?,Epithelium,Bowman's layer,Stroma,Descemet's membrane,Stroma,Vogt's striae are vertical stress lines in the posterior stroma that disappear upon applying pressure to the globe.
1105,Ophthalmology,Glaucoma,3,The 'Seidel's sign' on fluorescent staining indicates:,Active corneal ulcer,Aqueous leakage from a wound,Dry eye syndrome,Herpetic keratitis,Aqueous leakage from a wound,"A positive Seidel's sign shows a stream of clear aqueous fluid diluting the green fluorescein dye, indicating a perforated globe or leaking surgical wound."
1106,Ophthalmology,Retina,3,Which of the following is the 'Hallmark' of Proliferative Diabetic Retinopathy (PDR)?,Microaneurysms,Cotton wool spots,Neovascularization,Hard exudates,Neovascularization,"The transition from Non-Proliferative (NPDR) to Proliferative (PDR) is marked by the growth of new, fragile blood vessels (NVD or NVE)."
1107,Ophthalmology,Neuro-ophthalmology,2,A patient with 3rd Nerve (Oculomotor) palsy will have an eye position that is:,Down and Out,Up and In,Purely Medial,Purely Superior,Down and Out,"Due to the unopposed action of the Lateral Rectus (CN VI) and Superior Oblique (CN IV), the eye deviates downwards and outwards."
1108,Ophthalmology,Lens,1,The 'Morgagnian Cataract' is a stage of:,Immature cataract,Mature cataract,Hypermature cataract,Incipient cataract,Hypermature cataract,"In hypermature cataracts, the cortex liquefies and the heavy brown nucleus settles to the bottom of the capsular bag."
1109,Ophthalmology,Optics,3,Which laser is used for performing 'Peripheral Iridotomy' in angle-closure glaucoma?,Excimer laser,Argon laser,Nd:YAG laser,Femtosecond laser,Nd:YAG laser,The Nd:YAG laser is commonly used to create a small hole in the iris to equalize pressure between the posterior and anterior chambers.
1110,Ophthalmology,Retina,4,The 'Screening' for Retinopathy of Prematurity (ROP) should be done for infants born before:,32 weeks or <1500g,35 weeks or <2000g,37 weeks or <2500g,30 weeks or <1000g,32 weeks or <1500g,Standard ROP screening criteria in India include gestational age <32 weeks or birth weight <1500g (or those with unstable clinical course).
1111,Ophthalmology,Refraction,2,The 'Stenopaic Slit' is used to determine:,Angle of squint,Axis of astigmatism,Depth of anterior chamber,Power of cataract,Axis of astigmatism,A stenopaic slit helps identify the principal meridians in a patient with high astigmatism.
1112,Ophthalmology,Conjunctiva,1,The most common causative organism for 'Ophthalmia Neonatorum' globally is:,Neisseria gonorrhoeae,Chlamydia trachomatis,Staphylococcus aureus,Herpes Simplex,Chlamydia trachomatis,"Chlamydia is the most frequent cause, though Gonococcus is the most dangerous and appears earliest (day 2-5)."
1113,Ophthalmology,Cornea,3,Which corneal layer is the thickest and makes up 90% of corneal depth?,Epithelium,Stroma,Descemet's membrane,Endothelium,Stroma,The substantia propria (stroma) provides the structural integrity and majority of the thickness of the cornea.
1114,Ophthalmology,Lens,3,Ectopia Lentis (dislocation of lens) upwards and outwards is characteristic of:,Marfan's Syndrome,Homocystinuria,Trauma,Weil-Marchesani Syndrome,Marfan's Syndrome,"In Marfan's, the lens typically dislocates superotemporally (Up/Out). In Homocystinuria, it dislocates inferonasally (Down/In)."
1115,Ophthalmology,Uveitis,4,Which of the following is the 'Triad' of Behcet's Disease?,"Uveitis, Arthritis, Urethritis","Uveitis, Oral ulcers, Genital ulcers","Cataract, Glaucoma, Uveitis","Dry eye, Dry mouth, Arthritis","Uveitis, Oral ulcers, Genital ulcers","Behcet's is a multisystem vasculitis characterized by recurrent aphthous ulcers, genital sores, and panuveitis with hypopyon."
1116,Ophthalmology,Glaucoma,2,The 'Bjerrum's Area' in the visual field corresponds to:,5-10 degrees from fixation,10-25 degrees from fixation,Peripheral 60 degrees,The blind spot,10-25 degrees from fixation,This arcuate area is where the most characteristic early visual field defects of glaucoma (Bjerrum scotoma) occur.
1117,Ophthalmology,Retina,2,Which of the following is a 'Primary' risk factor for Age-Related Macular Degeneration (AMD)?,Alcohol,Smoking,Myopia,Diabetes,Smoking,Smoking is the most significant modifiable risk factor for the development and progression of AMD.
1118,Ophthalmology,Neuro-ophthalmology,3,An 'Adie's Tonic Pupil' is characterized by:,Miosis and rapid light reaction,Mydriasis and very slow reaction to light/near,Irregular shape and fixed position,Bilateral constriction to light,Mydriasis and very slow reaction to light/near,Adie's pupil is a benign condition (usually in young females) showing a dilated pupil that reacts poorly to light but slowly to accommodation.
1119,Ophthalmology,Community Ophthalmology,1,The 'WHO' definition of 'Blindness' is visual acuity in the better eye less than:,6/18,6/60,3/60,1/60,3/60,Blindness is defined as visual acuity < 3/60 (Snellen) or a field of vision < 10 degrees in the better eye.
1120,Ophthalmology,Trauma,3,The 'Siderosis Bulbi' is caused by an intraocular foreign body containing:,Copper,Iron,Lead,Glass,Iron,"Retention of an iron foreign body leads to oxidative damage (Siderosis), turning the iris brown and damaging the retina. Copper causes Chalcosis."
1121,Ophthalmology,Pharmacology,2,Which of the following is a 'Side Effect' of long-term Topical Steroid use in the eye?,Hypotension,Cataract and Glaucoma,Retinal detachment,Corneal thinning,Cataract and Glaucoma,Steroids increase IOP (Glaucoma) and can cause Posterior Subcapsular Cataract.
1122,Ophthalmology,Cornea,3,A 'Mooren's Ulcer' is characterized as being:,Infectious and central,Peripheral and idiopathic/autoimmune,Associated with Vitamin A deficiency,Always bilateral,Peripheral and idiopathic/autoimmune,"Mooren's ulcer is a rare, painful, progressive peripheral ulcerative keratitis without any associated systemic disease."
1123,Ophthalmology,Neuro-ophthalmology,4,The 'Poliose' (whitening of eyelashes) is seen in which condition?,Sympathetic Ophthalmitis,Vogt-Koyanagi-Harada (VKH) Syndrome,Both A and B,Neither A nor B,Both A and B,"Poliosis, vitiligo, and alopecia are features of both Sympathetic Ophthalmitis and VKH syndrome due to anti-melanocyte activity."
1124,Ophthalmology,Optics,2,A '+10D' lens is used to correct:,Myopia,Hypermetropia,Aphakia,Presbyopia,Aphakia,High-power convex lenses (usually around +10D) were traditionally used for vision correction in aphakia before IOLs became standard.
1125,Ophthalmology,Retina,3,The 'Cotton Wool Spots' on fundoscopy represent:,Lipid deposits,Axonal debris in the nerve fiber layer due to ischemia,Dead photoreceptors,Fungal colonies,Axonal debris in the nerve fiber layer due to ischemia,"They are micro-infarcts of the retinal nerve fiber layer (RNFL), common in hypertension and diabetes."
1126,Ophthalmology,Glaucoma,3,The 'Iridocorneal Endothelial' (ICE) syndrome is associated with:,Open angle glaucoma,Secondary angle closure glaucoma,Cataract,Myopia,Secondary angle closure glaucoma,"Abnormal endothelial cells migrate over the angle, forming membranes that lead to synechial angle closure."
1127,Ophthalmology,Uveitis,2,A 'Snowbanking' appearance in the vitreous base is characteristic of:,Anterior Uveitis,Intermediate Uveitis (Pars Planitis),Posterior Uveitis,Panuveitis,Intermediate Uveitis (Pars Planitis),"Exudates on the pars plana and peripheral retina resemble snowbanks, specific to Pars Planitis."
1128,Ophthalmology,Eyelids,3,The 'Marcus-Gunn Jaw Winking' phenomenon is associated with:,Acquired ptosis,Congenital ptosis,Hyperthyroidism,Myasthenia Gravis,Congenital ptosis,It is a synkinetic movement where the ptotic lid elevates when the patient opens their mouth or moves the jaw.
1129,Ophthalmology,Refraction,2,The 'Anisometropia' is defined as a difference in refractive power between the two eyes of at least:,1 Diopter,2 Diopters,4 Diopters,0.5 Diopter,2 Diopters,"A difference of >2D makes it difficult for the brain to fuse images, often leading to amblyopia."
1130,Ophthalmology,Retina,3,The 'Dot and Blot' hemorrhages are primarily found in which layer of the retina?,Nerve fiber layer,Inner nuclear layer,Outer plexiform layer,Sub-retinal space,Inner nuclear layer,"Because they occur in the deeper layers where the tissue is vertically oriented, they appear round (dot/blot). Flame hemorrhages are in the RNFL."
1131,Ophthalmology,Neuro-ophthalmology,4,The 'Riddoch Phenomenon' (statokinetic dissociation) is seen in lesions of the:,Optic Nerve,Optic Chiasm,Optic Tract,Occipital Cortex,Occipital Cortex,Patients can see moving objects in their blind field but not static ones.
1132,Ophthalmology,Conjunctiva,2,A 'Bitot's Spot' is usually located on the:,Nasal conjunctiva,Temporal conjunctiva,Upper cornea,Lower lid,Temporal conjunctiva,Bitot's spots are typically triangular and found on the temporal bulbar conjunctiva within the palpebral fissure.
1133,Ophthalmology,Glaucoma,3,Which of the following is a 'Carbonic Anhydrase Inhibitor' used to treat glaucoma?,Timolol,Acetazolamide,Latanoprost,Brimonidine,Acetazolamide,Acetazolamide (oral) and Dorzolamide (topical) reduce aqueous production by inhibiting the carbonic anhydrase enzyme in the ciliary body.
1134,Ophthalmology,Retina,2,The 'Eales' Disease' is most common in:,Elderly females,Young adult males,Infants,Diabetics,Young adult males,"Eales' disease is an idiopathic peripheral perivasculitis (vasculitis) of the retina, typically affecting healthy young males."
1135,Ophthalmology,Cornea,2,The 'Dystrophy' that presents with a 'Lattice' pattern in the cornea is due to deposits of:,Hyaline,Amyloid,Mucopolysaccharide,Lipid,Amyloid,Lattice dystrophy = Amyloid (Congo Red stain). Granular = Hyaline. Macular = Mucopolysaccharide.
1136,Ophthalmology,Anatomy,2,The 'Uveal Tract' consists of which three structures?,"Cornea, Sclera, Iris","Iris, Ciliary body, Choroid","Retina, Optic nerve, Vitreous","Lens, Iris, Pupil","Iris, Ciliary body, Choroid",The uvea is the middle vascular layer of the eye.
1137,Ophthalmology,Lens,3,A 'Christmas Tree' cataract is most commonly associated with:,Diabetes,Myotonic Dystrophy,Hypocalcemia,Atopic Dermatitis,Myotonic Dystrophy,Polychromatic needle-like opacities (Christmas tree appearance) are a classic sign of Myotonic Dystrophy.
1138,Ophthalmology,Neuro-ophthalmology,3,Which of the following is the 'Hutchinson's Pupil' sequence in head injury?,Constricted -> Dilated -> Fixed,Dilated -> Constricted -> Fixed,Fixed from start,Alternating constriction/dilation,Constricted -> Dilated -> Fixed,"In expanding intracranial lesions, the ipsilateral pupil first constricts (irritation), then dilates (paralysis), and finally becomes fixed."
1139,Ophthalmology,Glaucoma,3,The 'Goldmann Applanation Tonometer' is based on which principle?,Imbert-Fick Law,Snell's Law,Lambert's Law,Prentice's Rule,Imbert-Fick Law,"The law states that for a thin-walled sphere, the pressure inside is equal to the force required to flatten it divided by the area of flattening."
1140,Ophthalmology,Retina,4,A 'Metamorphopsia' (wavy lines) can be demonstrated using which clinical tool?,Ishihara Chart,Amsler Grid,Snellen Chart,Retinoscope,Amsler Grid,Amsler grid is used to detect central field defects and distortions in macular diseases.
1141,Ophthalmology,Refraction,2,The 'Jackson's Cross Cylinder' is used during refraction to determine:,Spherical power,Cylinder power and axis,Prism requirement,Add for presbyopia,Cylinder power and axis,JCC is the standard subjective method to refine the axis and power of the cylindrical correction.
1142,Ophthalmology,Conjunctiva,2,A 'Concretion' is a yellowish-white deposit on the palpebral conjunctiva composed of:,Calcium,Epithelial debris and inspissated mucus,Uric acid,Cholesterol,Epithelial debris and inspissated mucus,Concretions are common in elderly patients or those with chronic conjunctivitis; they are rarely calcified.
1143,Ophthalmology,Cornea,4,Which corneal dystrophy is 'X-linked'?,Granular,Lattice,Macular,Posterior Polymorphous,Macular,"Actually, most are autosomal dominant. Macular is autosomal recessive. (Trap: There is no major X-linked corneal dystrophy; check for Fabry's disease for corneal verticillata)."
1144,Ophthalmology,Uveitis,3,What is the most common cause of 'Endophthalmitis' after cataract surgery?,Staph aureus,Staph epidermidis,Pseudomonas,Propionibacterium acnes,Staph epidermidis,Staph epidermidis (coagulase-negative) is the most common organism as it is part of the normal skin/lid flora.
1145,Ophthalmology,Glaucoma,2,A 'Seidel's scotoma' is a clinical progression of which visual field defect?,Nasal step,Paracentral scotoma,Temporal island,Enlarged blind spot,Paracentral scotoma,"When paracentral scotomas join with the blind spot, it forms a sickle-shaped defect known as Seidel's scotoma."
1146,Ophthalmology,Retina,1,The 'Photoreceptors' of the retina are:,Bipolar and Ganglion cells,Rods and Cones,Amacrine cells,Horizontal cells,Rods and Cones,Rods are for dim light/peripheral vision; Cones are for bright light/color/central vision.
1147,Ophthalmology,Neuro-ophthalmology,3,A 'Pituitary tumor' most commonly causes which visual field defect?,Homonymous hemianopia,Bitemporal hemianopia,Binasal hemianopia,Altitudinal defect,Bitemporal hemianopia,Compression of the optic chiasm from below (pituitary adenoma) damages the decussating fibers from the nasal retina.
1148,Ophthalmology,Pharmacology,3,Which of the following is a 'Mydriatic' but NOT a 'Cycloplegic'?,Atropine,Homatropine,Phenylephrine,Cyclopentolate,Phenylephrine,Phenylephrine is a sympathomimetic that dilates the pupil but does not paralyze the ciliary muscle (accommodation remains intact).
1149,Ophthalmology,Community Ophthalmology,2,Which of the following is the 'Most Common' cause of 'Low Vision' (not blindness) in India?,Cataract,Refractive Errors,Glaucoma,Trachoma,Refractive Errors,Uncorrected refractive errors are the leading cause of moderate to severe visual impairment.
1150,Ophthalmology,Orbit,2,The 'Exophthalmos' is a characteristic clinical feature of:,Graves' Disease,Orbital Cellulitis,Both A and B,Dermoid Cyst,Both A and B,Protrusion of the eyeball (exophthalmos) can be endocrine (Graves') or inflammatory/infectious (Cellulitis).
1151,Ophthalmology,Cornea,3,The 'Dellen' is a peripheral thinning of the cornea caused by:,Infection,Localized tear film instability/drying,Autoimmune reaction,Vitamin A deficiency,Localized tear film instability/drying,"Dellen are shallow saucer-like depressions at the corneal periphery, usually adjacent to an elevation like a pterygium."
1152,Ophthalmology,Lens,3,The 'Sunflower Cataract' is seen in which metabolic disorder?,Galactosemia,Wilson's Disease,Diabetes Mellitus,Hypoparathyroidism,Wilson's Disease,Copper deposition in the anterior lens capsule produces a sunflower-shaped opacity.
1153,Ophthalmology,Uveitis,4,The 'Dalen-Fuchs Nodules' are pathognomonic of:,VKH Syndrome,Sympathetic Ophthalmitis,Sarcoidosis,Tuberculosis,Sympathetic Ophthalmitis,These are small yellowish-white nodules (granulomas) found between the RPE and Bruch's membrane.
1154,Ophthalmology,Glaucoma,2,The 'Triple Procedure' in ophthalmology usually refers to:,Cataract + Glaucoma + Keratoplasty,Cataract + IOL + Keratoplasty,Glaucoma + Vitrectomy + Laser,Squint + Ptosis + Ectropion,Cataract + IOL + Keratoplasty,"This involves performing a corneal transplant, removing the cataract, and placing an IOL in one sitting."
